year,name,TDI,TDI_normalized,TDI_rank
1982,Ligier,0.2538953126081838,0.2172432204188316,8.0
1982,Alfa Romeo,0.1475138619631193,0.0831986352141559,9.0
1982,Arrows,0.1187611068799187,0.0469690942063123,10.0
1982,ATS,0.1057700241177963,0.0305998466575236,11.0
1982,Fittipaldi,0.0941482609799441,0.0159559927740301,12.0
1982,Osella,0.0924695354150799,0.0138407361136798,13.0
1982,March,0.0904243281471004,0.0112636988742781,14.0
1982,Ensign,0.0848656294200848,0.004259531694545,15.0
1982,Toleman,0.0838048090523338,0.0029228585686417,16.0
1982,Theodore,0.0814851485148515,0.0,17.0
1983,Ferrari,0.9242574257425744,1.0,1.0
1983,Renault,0.8790709941780694,0.9468332993008504,2.0
1983,Brabham,0.8382498980235102,0.8988028856054814,3.0
1983,McLaren,0.3757939333259167,0.3546736633960576,4.0
1983,Williams,0.3553241841038035,0.3305888000289393,5.0
1983,Tyrrell,0.2400521007156894,0.1949587857908274,6.0
1983,Lotus,0.1956247871978209,0.1426852691866252,7.0
1983,Alfa Romeo,0.1875616494233692,0.1331981196616996,8.0
1983,Toleman,0.1285115140727555,0.0637192791396588,9.0
1983,Arrows,0.1236422293914784,0.0579900415719865,10.0
1983,Ligier,0.1031683168316831,0.0339002795899347,11.0
1983,Spirit,0.1004950495049504,0.0307548928238583,12.0
1983,Theodore,0.0992218884809829,0.0292568818334025,13.0
1983,ATS,0.0965346534653465,0.0260950605778191,14.0
1983,Osella,0.0839603960396039,0.0113000931966448,15.0
1983,RAM,0.0743564356435643,0.0,16.0
1984,McLaren,0.9311571782178218,1.0,1.0
1984,Ferrari,0.3408998238674041,0.3139151255166429,2.0
1984,Brabham,0.2967666779744176,0.2626170203132479,3.0
1984,Lotus,0.2685786588240705,0.2298527126122732,4.0
1984,Renault,0.2319977206779911,0.1873329063422498,5.0
1984,Williams,0.1995080289823407,0.1495685551067716,6.0
1984,Toleman,0.1676706541854473,0.1125624235771701,7.0
1984,Alfa Romeo,0.1364290577576921,0.0762487942664691,8.0
1984,Arrows,0.1188377548556249,0.055801566028465,9.0
1984,Ligier,0.110090838134336,0.045634598659721,10.0
1984,Spirit,0.1067450495049505,0.0417456255619337,11.0
1984,Osella,0.1031587435747058,0.0375770874897252,12.0
1984,ATS,0.1001650165016501,0.0340973326878299,13.0
1984,RAM,0.098019801980198,0.0316038453558337,14.0
1984,Tyrrell,0.0708301599390708,0.0,15.0
1985,McLaren,0.9219678217821784,1.0,1.0
1985,Williams,0.6757542629262926,0.705425993106455,2.0
1985,Lotus,0.6448446094609461,0.668445168348922,3.0
1985,Ferrari,0.6301182618261827,0.6508263205087075,4.0
1985,Brabham,0.2674931243124311,0.2169755599976965,5.0
1985,Ligier,0.2515841584158415,0.1979418079514324,6.0
1985,Renault,0.1904279782816991,0.1247735343919639,7.0
1985,Arrows,0.1690855335533553,0.0992390776798861,8.0
1985,Tyrrell,0.1378781628162816,0.0619020590146672,9.0
1985,Osella,0.1019183168316831,0.0188790997260679,10.0
1985,Alfa Romeo,0.0999690594059405,0.0165469756422595,11.0
1985,Minardi,0.0972772277227722,0.0133264233360479,12.0
1985,Toleman,0.0935643564356435,0.0088842822240319,13.0
1985,RAM,0.092993145468393,0.0082008758991064,14.0
1985,Spirit,0.0886138613861386,0.0029614274080106,15.0
1985,Zakspeed,0.0876237623762376,0.0017768564448063,16.0
1985,Lola,0.0861386138613861,0.0,17.0
1986,Williams,0.9324566831683168,1.0,1.0
1986,McLaren,0.5728878318962914,0.5743905778021658,2.0
1986,Lotus,0.3803166273374257,0.3464505913036292,3.0
1986,Ferrari,0.2340205055639942,0.1732848467250793,4.0
1986,Benetton,0.202056023071512,0.1354495757433169,5.0
1986,Ligier,0.1864480659992091,0.1169749677016823,6.0
1986,Tyrrell,0.1285669457903236,0.0484630539440857,7.0
1986,Arrows,0.1144334508948492,0.0317337166424291,8.0
1986,Lola,0.1106145986939119,0.0272134711513361,9.0
1986,Brabham,0.1076117117545659,0.0236590559936851,10.0
1986,Zakspeed,0.0995049504950495,0.0140633583592748,11.0
1986,Minardi,0.0925433168316831,0.0058231093206372,12.0
1986,Osella,0.0912438118811881,0.0042849295000915,13.0
1986,AGS,0.0876237623762376,0.0,14.0
1987,Williams,0.9283725247524752,1.0,1.0
1987,McLaren,0.5187562483438125,0.522082305565576,2.0
1987,Lotus,0.4023381101796311,0.3862520385908695,3.0
1987,Ferrari,0.3509833738848337,0.3263341628084843,4.0
1987,Benetton,0.1833814129588141,0.1307854325413837,5.0
1987,Brabham,0.1414171595079215,0.0818238545646736,6.0
1987,Tyrrell,0.1321784436655344,0.0710446301314058,7.0
1987,Arrows,0.1254024535665245,0.0631387783571016,8.0
1987,Lola,0.1142805521428055,0.0501623567833462,9.0
1987,March,0.1046776757967767,0.0389582499459162,10.0
1987,Zakspeed,0.1043739159499891,0.0386038396990595,11.0
1987,Ligier,0.1043311411433114,0.0385539324122531,12.0
