year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1958,maserati,Maserati,10,0,0,13.709090909090907,0.0967741935483871,0.0,0.0,0.00967741935483871,0.0387096774193548,10,0.03474903474903475,0.0
1958,osca,O.S.C.A.,1,0,0,25.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,phillips,Phillips,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,porsche,Porsche,2,0,0,12.666666666666666,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1958,vanwall,Vanwall,9,6,9,10.185185185185183,0.7311827956989247,0.6666666666666666,0.5,0.08124253285543609,0.6508064516129032,9,0.2625482625482626,0.0
1958,watson,Watson,1,0,0,17.25,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,aston-martin,Aston Martin,4,0,0,11.125,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1959,behra-porsche,Behra-Porsche,2,0,0,18.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1959,brm,BRM,7,1,2,9.454545454545457,0.2307692307692307,0.1428571428571428,0.1428571428571428,0.032967032967032954,0.178021978021978,7,0.10416666666666664,0.0
1959,christensen,Christensen,1,0,0,27.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,connaught,Connaught,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,cooper,Cooper,8,5,13,11.107692307692307,1.0,0.625,0.8125,0.125,0.821875,8,0.45138888888888895,0.0
1959,dunn,Dunn,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,elder,Elder,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,epperly,Epperly,1,0,0,12.0,0.0512820512820512,0.0,0.0,0.0512820512820512,0.0205128205128205,1,0.023148148148148112,0.0
1959,ferrari,Ferrari,7,2,9,7.310344827586207,0.6871794871794872,0.2857142857142857,0.6428571428571429,0.09816849816849817,0.5355860805860806,7,0.31018518518518523,0.0
1959,fry,Fry,1,0,0,26.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
