year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank
1985,arrows,Arrows,16,0,1,11.0625,0.1555555555555555,0.0,0.0833333333333333,0.875,0.16908553355335532,0.780940594059406,0.0992390776798861,8.0
1985,tyrrell,Tyrrell,16,0,0,11.5625,0.1111111111111111,0.0,0.0,0.625,0.13787816281628162,0.7710396039603961,0.06190205901466727,9.0
1985,osella,Osella,16,0,0,16.1875,0.0,0.0,0.0,0.0,0.10191831683168318,0.6794554455445545,0.018879099726067963,10.0
1985,alfa-romeo,Alfa Romeo,16,0,0,16.84375,0.0,0.0,0.0,0.0,0.09996905940594059,0.6664603960396039,0.01654697564225955,11.0
1985,minardi,Minardi,16,0,0,17.75,0.0,0.0,0.0,0.0,0.09727722772277228,0.6485148514851485,0.01332642333604797,12.0
1985,toleman,Toleman,13,0,0,19.0,0.0,0.0,0.0,0.0,0.09356435643564356,0.6237623762376238,0.008884282224031974,13.0
1985,ram,RAM,14,0,0,19.192307692307693,0.0,0.0,0.0,0.0,0.092993145468393,0.61995430312262,0.00820087589910645,14.0
1985,spirit,Spirit,3,0,0,20.666666666666668,0.0,0.0,0.0,0.0,0.0886138613861386,0.5907590759075907,0.00296142740801063,15.0
1985,zakspeed,Zakspeed,10,0,0,21.0,0.0,0.0,0.0,0.0,0.08762376237623763,0.5841584158415842,0.0017768564448063981,16.0
1985,lola,Lola,4,0,0,21.5,0.0,0.0,0.0,0.0,0.08613861386138615,0.5742574257425743,0.0,17.0
1986,williams,Williams,16,9,19,5.90625,1.0,1.0,1.0,8.8125,0.9324566831683169,0.8830445544554455,1.0,1.0
1986,mclaren,McLaren,16,4,12,9.0,0.6808510638297872,0.4444444444444444,0.631578947368421,6.0,0.5728878318962914,0.8217821782178218,0.5743905778021658,2.0
1986,lotus,Lotus,16,2,8,11.78125,0.4113475177304964,0.2222222222222222,0.4210526315789473,3.625,0.3803166273374257,0.7667079207920792,0.34645059130362926,3.0
1986,ferrari,Ferrari,16,0,5,11.53125,0.2624113475177305,0.0,0.2631578947368421,2.3125,0.23402050556399423,0.7716584158415841,0.17328484672507938,4.0
1986,benetton,Benetton,16,1,2,13.5,0.1347517730496454,0.1111111111111111,0.1052631578947368,1.1875,0.20205602307151205,0.7326732673267327,0.13544957574331692,5.0
1986,ligier,Ligier,16,0,2,10.4375,0.2056737588652482,0.0,0.1052631578947368,1.8125,0.1864480659992091,0.7933168316831684,0.11697496770168239,6.0
1986,tyrrell,Tyrrell,16,0,0,12.46875,0.0780141843971631,0.0,0.0,0.6875,0.12856694579032368,0.7530940594059405,0.04846305394408574,7.0
1986,arrows,Arrows,16,0,0,12.451612903225806,0.0070921985815602,0.0,0.0,0.0625,0.11443345089484924,0.7534334078569147,0.03173371664242912,8.0
1986,lola,Lola,16,0,0,16.125,0.0425531914893617,0.0,0.0,0.375,0.11061459869391194,0.6806930693069306,0.027213471151336144,9.0
1986,brabham,Brabham,16,0,0,15.225806451612904,0.0141843971631205,0.0,0.0,0.125,0.10761171175456598,0.6984988821462792,0.023659055993685115,10.0
1986,zakspeed,Zakspeed,16,0,0,17.0,0.0,0.0,0.0,0.0,0.0995049504950495,0.6633663366336633,0.014063358359274837,11.0
1986,minardi,Minardi,16,0,0,19.34375,0.0,0.0,0.0,0.0,0.09254331683168317,0.6169554455445545,0.005823109320637235,12.0
1986,osella,Osella,16,0,0,19.78125,0.0,0.0,0.0,0.0,0.0912438118811881,0.6082920792079207,0.004284929500091529,13.0
1986,ags,AGS,2,0,0,21.0,0.0,0.0,0.0,0.0,0.08762376237623763,0.5841584158415842,0.0,14.0
1987,williams,Williams,16,9,18,7.28125,1.0,1.0,1.0,8.5625,0.9283725247524752,0.8558168316831684,1.0,1.0
1987,mclaren,McLaren,16,3,12,8.59375,0.5547445255474452,0.3333333333333333,0.6666666666666666,4.75,0.5187562483438125,0.8298267326732673,0.522082305565576,2.0
1987,lotus,Lotus,16,2,8,10.09375,0.4671532846715328,0.2222222222222222,0.4444444444444444,4.0,0.4023381101796311,0.8001237623762376,0.38625203859086954,3.0
1987,ferrari,Ferrari,16,2,6,12.625,0.3868613138686131,0.2222222222222222,0.3333333333333333,3.3125,0.3509833738848337,0.75,0.3263341628084843,4.0
1987,benetton,Benetton,16,0,2,11.875,0.2043795620437956,0.0,0.1111111111111111,1.75,0.1833814129588141,0.7648514851485149,0.13078543254138378,5.0
1987,brabham,Brabham,16,0,2,17.15625,0.072992700729927,0.0,0.1111111111111111,0.625,0.14141715950792158,0.6602722772277227,0.08182385456467368,6.0
1987,tyrrell,Tyrrell,16,0,0,11.40625,0.0802919708029197,0.0,0.0,0.6875,0.13217844366553444,0.7741336633663366,0.07104463013140584,7.0
1987,arrows,Arrows,16,0,0,13.6875,0.0802919708029197,0.0,0.0,0.6875,0.12540245356652452,0.7289603960396039,0.06313877835710165,8.0
1987,lola,Lola,15,0,0,13.5,0.0218978102189781,0.0,0.0,0.2,0.11428055214280552,0.7326732673267327,0.05016235678334626,9.0
1987,march,March,16,0,0,15.75,0.0072992700729927,0.0,0.0,0.0625,0.10467767579677675,0.6881188118811881,0.03895824994591621,10.0
1987,zakspeed,Zakspeed,16,0,0,16.34375,0.0145985401459854,0.0,0.0,0.125,0.10437391594998915,0.6763613861386139,0.03860383969905959,11.0
1987,ligier,Ligier,15,0,0,15.866666666666667,0.0072992700729927,0.0,0.0,0.0666666666666666,0.1043311411433114,0.6858085808580858,0.03855393241225316,12.0
1987,ags,AGS,16,0,0,16.125,0.0072992700729927,0.0,0.0,0.0625,0.10356381441063814,0.6806930693069306,0.03765865787342785,13.0
1987,minardi,Minardi,16,0,0,19.21875,0.0,0.0,0.0,0.0,0.09291460396039604,0.619430693069307,0.025233746074148952,14.0
1987,osella,Osella,16,0,0,19.95,0.0,0.0,0.0,0.0,0.09074257425742575,0.604950495049505,0.022699541532796668,15.0
1987,coloni,Coloni,2,0,0,26.5,0.0,0.0,0.0,0.0,0.07128712871287128,0.4752475247524752,0.0,16.0
1988,mclaren,McLaren,16,15,25,4.0,1.0,1.0,1.0,12.4375,0.9381188118811882,0.9207920792079208,1.0,1.0
1988,ferrari,Ferrari,16,1,8,10.40625,0.3266331658291457,0.0666666666666666,0.32,4.0625,0.2877503130338159,0.7939356435643564,0.24290772645342631,2.0
1988,benetton,Benetton,16,0,7,10.96875,0.1959798994974874,0.0,0.28,2.4375,0.22661553435494303,0.7827970297029703,0.17174089001411028,3.0
1988,lotus,Lotus,16,0,3,13.625,0.1155778894472361,0.0,0.12,1.4375,0.16264528085974425,0.7301980198019802,0.09727328473515827,4.0
1988,march,March,16,0,2,13.34375,0.1105527638190954,0.0,0.08,1.375,0.15247565177372008,0.7357673267326732,0.08543484603539234,5.0
1988,williams,Williams,16,0,2,14.34375,0.100502512562814,0.0,0.08,1.25,0.14749530449276083,0.7159653465346535,0.07963723675284648,6.0
1988,arrows,Arrows,16,0,1,12.09375,0.1155778894472361,0.0,0.04,1.4375,0.14719354818647692,0.760519801980198,0.07928596302358933,7.0
1988,rial,Rial,16,0,0,16.25,0.0150753768844221,0.0,0.0,0.1875,0.10474774864421114,0.6782178217821782,0.029874918462069733,8.0
1988,lola,Lola,16,0,0,15.53125,0.0,0.0,0.0,0.0,0.10386757425742574,0.692450495049505,0.028850309753637796,9.0
1988,ags,AGS,16,0,0,16.75,0.0,0.0,0.0,0.0,0.10024752475247524,0.6683168316831682,0.02463621956490418,10.0
1988,minardi,Minardi,16,0,0,18.25,0.0050251256281407,0.0,0.0,0.0625,0.09679710433354893,0.6386138613861386,0.020619594152870676,11.0
1988,dallara,Dallara,16,0,0,18.125,0.0,0.0,0.0,0.0,0.09616336633663367,0.6410891089108911,0.019881861403256016,12.0
1988,tyrrell,Tyrrell,16,0,0,20.25,0.0251256281407035,0.0,0.0,0.3125,0.09487661077665555,0.599009900990099,0.018383952611349487,13.0
1988,ligier,Ligier,16,0,0,20.40625,0.0,0.0,0.0,0.0,0.08938737623762374,0.5959158415841583,0.011993948998703334,14.0
1988,eurobrun,EuroBrun,16,0,0,22.46875,0.0,0.0,0.0,0.0,0.08326113861386138,0.5550742574257426,0.004862411756231078,15.0
1988,coloni,Coloni,16,0,0,22.5,0.0,0.0,0.0,0.0,0.08316831683168317,0.5544554455445545,0.004754358161648181,16.0
1988,osella,Osella,16,0,0,23.25,0.0,0.0,0.0,0.0,0.08094059405940594,0.5396039603960396,0.0021610718916582642,17.0
1988,zakspeed,Zakspeed,16,0,0,23.875,0.0,0.0,0.0,0.0,0.07908415841584159,0.5272277227722773,0.0,18.0
1989,mclaren,McLaren,16,10,18,7.71875,1.0,1.0,1.0,8.8125,0.9270730198019802,0.8471534653465347,1.0,1.0
1989,williams,Williams,16,2,11,9.71875,0.5460992907801419,0.2,0.6111111111111112,4.8125,0.4531300616763804,0.807549504950495,0.46194680506447766,2.0
1989,ferrari,Ferrari,16,3,9,13.8,0.4184397163120567,0.3,0.5,3.6875,0.42269784425251034,0.7267326732673267,0.42739802333208515,3.0
1989,benetton,Benetton,16,1,4,12.4375,0.2765957446808511,0.1,0.2222222222222222,2.4375,0.25893163518479506,0.7537128712871287,0.24147916854025697,4.0
1989,arrows,Arrows,16,0,1,12.90625,0.0921985815602836,0.0,0.0555555555555555,0.8125,0.14399320916134162,0.744430693069307,0.11099302820944046,5.0
1989,tyrrell,Tyrrell,16,0,1,14.34375,0.1134751773049645,0.0,0.0555555555555555,1.0,0.1439787263300798,0.7159653465346535,0.11097658628642307,6.0
1989,dallara,Dallara,16,0,1,15.09375,0.0567375886524822,0.0,0.0555555555555555,0.5,0.1304034858273061,0.7011138613861386,0.0955650237780931,7.0
1989,brabham,Brabham,16,0,1,15.75,0.0567375886524822,0.0,0.0555555555555555,0.5,0.12845422840156354,0.6881188118811881,0.09335209041197559,8.0
1989,lotus,Lotus,16,0,0,14.4375,0.1063829787234042,0.0,0.0,0.9375,0.1283929323783442,0.7141089108910892,0.09328250287920489,9.0
1989,march,March,16,0,1,16.9375,0.0283687943262411,0.0,0.0555555555555555,0.25,0.11925324181354305,0.6646039603960396,0.08290648689499845,10.0
1989,minardi,Minardi,16,0,0,17.0625,0.0425531914893617,0.0,0.0,0.375,0.10782994522856541,0.6621287128712872,0.06993796163501471,11.0
1989,onyx,Onyx,16,0,1,24.375,0.0425531914893617,0.0,0.0555555555555555,0.375,0.0999985370877513,0.5173267326732673,0.06104719936338199,12.0
1989,ligier,Ligier,16,0,0,19.65625,0.0212765957446808,0.0,0.0,0.1875,0.09587041815883714,0.6107673267326732,0.056360670023310126,13.0
1989,lola,Lola,16,0,0,21.375,0.0070921985815602,0.0,0.0,0.0625,0.08792834070641106,0.5767326732673268,0.04734426820862009,14.0
1989,rial,Rial,16,0,0,28.375,0.0212765957446808,0.0,0.0,0.1875,0.06997314093111437,0.43811881188118806,0.026960269587748643,15.0
1989,osella,Osella,16,0,0,28.59375,0.0,0.0,0.0,0.0,0.0650680693069307,0.4337871287128713,0.021391689205802797,16.0
1989,ags,AGS,16,0,0,30.83870967741936,0.0070921985815602,0.0,0.0,0.0625,0.05981831196160107,0.38933248163526024,0.015431797484946655,17.0
1989,coloni,Coloni,16,0,0,32.53125,0.0,0.0,0.0,0.0,0.05337252475247525,0.35581683168316836,0.008114089009097615,18.0
1989,eurobrun,EuroBrun,16,0,0,34.5625,0.0,0.0,0.0,0.0,0.04733910891089108,0.31559405940594054,0.001264533352067146,19.0
1989,zakspeed,Zakspeed,16,0,0,34.9375,0.0,0.0,0.0,0.0,0.04622524752475248,0.3081683168316832,0.0,20.0
1990,mclaren,McLaren,16,6,18,7.25,1.0,1.0,1.0,7.5625,0.9284653465346535,0.8564356435643564,1.0,1.0
1990,ferrari,Ferrari,16,6,14,8.5625,0.9090909090909092,1.0,0.7777777777777778,6.875,0.8508294579457946,0.8304455445544554,0.9117866154006617,2.0
1990,benetton,Benetton,16,2,8,8.3125,0.5867768595041323,0.3333333333333333,0.4444444444444444,4.4375,0.47044255561919823,0.8353960396039604,0.4795739271529963,3.0
1990,williams,Williams,16,2,4,9.78125,0.4710743801652892,0.3333333333333333,0.2222222222222222,3.5625,0.38738388043349786,0.8063118811881188,0.38519892879020123,4.0
1990,tyrrell,Tyrrell,16,0,2,14.96875,0.1322314049586777,0.0,0.1111111111111111,1.0,0.15976242510614697,0.7035891089108911,0.1265652047893381,5.0
1990,lola,Lola,16,0,1,14.875,0.0909090909090909,0.0,0.0555555555555555,0.6875,0.13788753875387538,0.7054455445544554,0.10170997613241174,6.0
1990,leyton-house,Leyton House,16,0,1,17.9375,0.0578512396694214,0.0,0.0555555555555555,0.4375,0.12217943385247612,0.6448019801980198,0.08386172161790448,7.0
1990,lotus,Lotus,16,0,0,15.0,0.024793388429752,0.0,0.0,0.1875,0.11040422224040584,0.7029702970297029,0.07048219715370956,8.0
1990,ligier,Ligier,16,0,0,14.5,0.0,0.0,0.0,0.0,0.10693069306930693,0.7128712871287128,0.06653541725260154,9.0
1990,arrows,Arrows,16,0,0,16.34375,0.0165289256198347,0.0,0.0,0.125,0.10475999304475901,0.6763613861386139,0.0640689703606326,10.0
