year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1956,bugatti,Bugatti,1,0,0,19.0,0.0,0.0,0.0,0.0,0.0
1956,connaught,Connaught,3,0,0,13.714285714285714,0.11180124223602485,0.0,0.0,3.0,0.04472049689440994
1956,cooper,Cooper,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0
1956,emeryson,Emeryson,1,0,0,27.0,0.0,0.0,0.0,0.0,0.0
1956,ferrari,Ferrari,7,5,14,9.977777777777778,1.0,0.7142857142857143,1.0,11.5,0.9
1956,gordini,Gordini,5,0,0,13.733333333333333,0.024844720496894408,0.0,0.0,0.4,0.009937888198757764
1956,kurtis-kraft,Kurtis Kraft,1,0,1,20.347826086956523,0.11180124223602485,0.0,0.5,9.0,0.16972049689440993
1956,kuzma,Kuzma,1,0,0,14.857142857142858,0.037267080745341616,0.0,0.0,3.0,0.014906832298136647
1956,lesovsky,Lesovsky,1,0,0,9.0,0.0,0.0,0.0,0.0,0.0
1956,maserati,Maserati,7,2,7,11.714285714285714,0.8944099378881988,0.2857142857142857,0.5,10.285714285714286,0.5827639751552796
1956,phillips,Phillips,1,0,1,3.0,0.049689440993788817,0.0,0.5,4.0,0.14487577639751553
1956,stevens,Stevens,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0
1956,vanwall,Vanwall,5,0,0,16.714285714285715,0.037267080745341616,0.0,0.0,0.6,0.014906832298136647
1956,watson,Watson,1,1,1,1.0,0.09937888198757763,1.0,0.5,8.0,0.514751552795031
1957,brm,BRM,3,0,0,15.5,0.0,0.0,0.0,0.0,0.0
1957,connaught,Connaught,1,0,0,8.5,0.038461538461538464,0.0,0.0,3.0,0.015384615384615385
1957,cooper,Cooper,5,0,0,13.625,0.02564102564102564,0.0,0.0,0.4,0.010256410256410256
1957,dunn,Dunn,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0
